WORK_ID,MP_NAME,WORK,CATEGORY,STATE,CONSTITUENCY,IDA,CITY,WARD,BLOCK,VILLAGE,RECOMMENDED_DATE,ALLOCATION_AMOUNT,IDA_APPROVAL,STATUS,HOUSE,is_fraud,fraud_type
f5d14b42,MP 0039,NA - repair of drinking water supply pipeline,Normal/Others,Telangana,Telangana Constituency 39,IDA 0283,,Ward 25,,,2024-03-11,820326,Approved by IDA,Completed,Lok Sabha,0,
e596dd08,MP 0221,NA - construction of boundary wall for school,Normal/Others,West Bengal,West Bengal Constituency 221,IDA 0296,,,Block 4,,2023-07-16,471857,Action Pending,Unsanctioned,Lok Sabha,0,
67390883,MP 0001,NA - development of public park,Normal/Others,Uttar Pradesh,Uttar Pradesh Constituency 1,IDA 0179,,,,Village 22,2023-08-21,981215,Approved by IDA,Completed,Rajya Sabha,1,structuring
564cf1f1,MP 0127,NA - construction of public toilet complex,Normal/Others,Haryana,Haryana Constituency 127,IDA 0037,,,Block 8,Village 27,2023-07-16,514077,Approved by IDA,Unsanctioned,Rajya Sabha,0,
08ac5767,MP 0063,NA - repair of internal roads,Normal/Others,Gujarat,Gujarat Constituency 63,IDA 0237,,,Block 4,Village 98,2023-11-22,1661900,Action Pending,Unsanctioned,Lok Sabha,0,
35bcfad1,MP 0007,NA - construction of boundary wall for school,Normal/Others,Haryana,Haryana Constituency 7,IDA 0261,,,Block 12,,2023-07-03,480533,Approved by IDA,Unsanctioned,Lok Sabha,0,
32956871,MP 0208,NA - construction of drainage system,Normal/Others,Karnataka,Karnataka Constituency 208,IDA 0205,,,Block 9,Village 100,2023-05-14,1229490,Action Pending,Unsanctioned,Lok Sabha,0,
145fb21c,MP 0142,NA – construction of boundary wall for school (Phase 2),Normal/Others,Chhattisgarh,Chhattisgarh Constituency 142,IDA 0219,,,Block 11,,2023-07-17,803693,Action Pending,Unsanctioned,Lok Sabha,1,duplicate
d01326c9,MP 0190,NA - installation of CCTV surveillance system,Normal/Others,Karnataka,Karnataka Constituency 190,IDA 0179,,Ward 30,,Village 13,2023-04-02,330095,Action Pending,Unsanctioned,Lok Sabha,0,
2bf81865,MP 0280,NA - installation of street lights,Normal/Others,Maharashtra,Maharashtra Constituency 280,IDA 0367,,Ward 27,Block 13,,2023-05-14,195295,Approved by IDA,Unsanctioned,Rajya Sabha,0,
1ac119bc,MP 0069,NA - installation of solar street lights,Normal/Others,Rajasthan,Rajasthan Constituency 69,IDA 0120,,,,,2023-10-29,384854,Action Pending,Unsanctioned,Lok Sabha,0,
97bd19f9,MP 0251,NA - installation of solar street lights,Normal/Others,Uttar Pradesh,Uttar Pradesh Constituency 251,IDA 0005,,,,,2023-05-09,308010,Approved by IDA,Sanctioned,Lok Sabha,1,ghost_project
6514d583,MP 0109,NA - installation of street lights,Normal/Others,Karnataka,Karnataka Constituency 109,IDA 0279,,,,,2023-11-26,267099,Action Pending,Unsanctioned,Lok Sabha,0,
06dfa7bb,MP 0210,NA - construction of boundary wall for school,Normal/Others,Punjab,Punjab Constituency 210,IDA 0262,,,Block 5,Village 25,2023-07-25,798263,Action Pending,Unsanctioned,Rajya Sabha,0,
7d052a06,MP 0269,NA - installation of RO water purification unit,Normal/Others,Haryana,Haryana Constituency 269,IDA 0254,,Ward 26,,,2023-09-01,155111,Approved by IDA,Unsanctioned,Lok Sabha,0,
a4e7b797,MP 0202,NA - installation of RO water purification unit,Normal/Others,Karnataka,Karnataka Constituency 202,IDA 0322,,,,,2023-10-18,307655,Action Pending,Unsanctioned,Lok Sabha,0,
df092f46,MP 0128,NA - repair and renovation of anganwadi center,Normal/Others,Uttar Pradesh,Uttar Pradesh Constituency 128,IDA 0048,,Ward 3,Block 2,,2023-04-22,490309,Approved by IDA,Unsanctioned,Lok Sabha,0,
d550e62f,MP 0136,NA - development of public park,Normal/Others,Tamil Nadu,Tamil Nadu Constituency 136,IDA 0114,,,,Village 98,2024-02-03,1112683,Approved by IDA,Unsanctioned,Lok Sabha,0,
afcb67bc,MP 0267,NA - installation of RO water purification unit,Normal/Others,Andhra Pradesh,Andhra Pradesh Constituency 267,IDA 0074,,Ward 6,,Village 52,2023-12-19,330133,Approved by IDA,Unsanctioned,Rajya Sabha,0,
4983a5fa,MP 0221,NA - installation of hand pumps and borewells,Normal/Others,West Bengal,West Bengal Constituency 221,IDA 0111,,,,Village 53,2023-11-13,90668,Action Pending,Unsanctioned,Lok Sabha,0,
ccd19ca1,MP 0148,NA - installation of hand pumps and borewells,Normal/Others,Madhya Pradesh,Madhya Pradesh Constituency 148,IDA 0230,,Ward 22,Block 3,Village 14,2023-11-01,169642,Approved by IDA,Sanctioned,Lok Sabha,0,
6907fb69,MP 0032,NA - renovation of government school building,Normal/Others,Madhya Pradesh,Madhya Pradesh Constituency 32,IDA 0292,,,Block 15,,2023-06-09,9229986,Action Pending,Completed,Lok Sabha,1,overpricing
c0f4c0f2,MP 0046,NA - repair and renovation of anganwadi center,Normal/Others,West Bengal,West Bengal Constituency 46,IDA 0254,,Ward 23,,,2023-11-15,225820,Action Pending,Unsanctioned,Lok Sabha,0,
28ef7e57,MP 0033,NA - construction of drainage system,Normal/Others,Rajasthan,Rajasthan Constituency 33,IDA 0194,,,,,2023-12-20,588209,Approved by IDA,Sanctioned,Lok Sabha,0,
b3cb16d4,MP 0128,NA - construction of public toilet complex,Normal/Others,Uttar Pradesh,Uttar Pradesh Constituency 128,IDA 0236,,,,,2023-06-24,434664,Action Pending,Unsanctioned,Lok Sabha,0,
26a83f60,MP 0083,NA - development of public park,Normal/Others,Maharashtra,Maharashtra Constituency 83,IDA 0092,,,,Village 86,2023-12-28,1185974,Action Pending,Unsanctioned,Lok Sabha,0,
fb0610d7,MP 0147,NA - construction of drainage system,Normal/Others,Rajasthan,Rajasthan Constituency 147,IDA 0231,,Ward 17,,,2023-05-28,1159037,Action Pending,Ongoing,Rajya Sabha,0,
c9b26d97,MP 0085,NA - installation of street lights,Normal/Others,Maharashtra,Maharashtra Constituency 85,IDA 0212,,Ward 12,Block 8,Village 51,2023-05-16,167188,Approved by IDA,Unsanctioned,Lok Sabha,0,
9617937b,MP 0095,NA - repair and renovation of anganwadi center,Normal/Others,Kerala,Kerala Constituency 95,IDA 0012,,Ward 12,Block 12,,2023-12-18,376894,Rejected by IDA,Unsanctioned,Rajya Sabha,0,
026e01dd,MP 0282,NA - construction of cremation ground shed,Normal/Others,Delhi,Delhi Constituency 282,IDA 0344,,Ward 30,Block 13,,2024-02-04,568852,Rejected by IDA,Ongoing,Lok Sabha,0,
7815f9a0,MP 0142,NA - development of public park,Normal/Others,Chhattisgarh,Chhattisgarh Constituency 142,IDA 0209,,,Block 14,Village 22,2023-09-17,1714512,Rejected by IDA,Ongoing,Rajya Sabha,0,
4108f44d,MP 0213,NA - development of public park,Normal/Others,Madhya Pradesh,Madhya Pradesh Constituency 213,IDA 0091,,,Block 12,,2023-09-28,1508223,Approved by IDA,Unsanctioned,Rajya Sabha,0,
652c98b7,MP 0036,NA - development of public park,Normal/Others,Bihar,Bihar Constituency 36,IDA 0046,,Ward 8,,,2024-01-03,1272394,Approved by IDA,Unsanctioned,Rajya Sabha,0,
e921116c,MP 0295,NA - repair of internal roads,Normal/Others,Kerala,Kerala Constituency 295,IDA 0161,,Ward 18,,Village 56,2023-08-24,1643983,Approved by IDA,Unsanctioned,Lok Sabha,1,vendor_capture
803af45d,MP 0004,NA - construction of public toilet complex,Normal/Others,Karnataka,Karnataka Constituency 4,IDA 0174,,,,,2024-01-10,954795,Approved by IDA,Ongoing,Lok Sabha,1,structuring
ced2315e,MP 0284,NA - installation of solar street lights,Normal/Others,Chhattisgarh,Chhattisgarh Constituency 284,IDA 0340,,,Block 11,Village 46,2023-06-02,435275,Approved by IDA,Completed,Rajya Sabha,0,
af8c555a,MP 0192,NA - repair and renovation of anganwadi center,Normal/Others,Odisha,Odisha Constituency 192,IDA 0269,,Ward 11,Block 1,,2023-08-03,348558,Action Pending,Unsanctioned,Rajya Sabha,0,
90d1b24f,MP 0147,NA - renovation of government school building,Normal/Others,Rajasthan,Rajasthan Constituency 147,IDA 0025,,,Block 15,,2023-08-08,1683900,Action Pending,Unsanctioned,Lok Sabha,0,
075bb7c6,MP 0006,NA - repair of internal roads,Normal/Others,West Bengal,West Bengal Constituency 6,IDA 0032,,,,Village 62,2023-07-22,619052,Approved by IDA,Unsanctioned,Rajya Sabha,0,
3595c91b,MP 0277,NA - repair and renovation of anganwadi center,Normal/Others,Haryana,Haryana Constituency 277,IDA 0102,,,,,2023-04-05,423057,Approved by IDA,Completed,Rajya Sabha,0,
7662d853,MP 0007,NA - repair of internal roads,Normal/Others,Haryana,Haryana Constituency 7,IDA 0112,,,Block 9,Village 42,2023-08-04,1757810,Approved by IDA,Sanctioned,Lok Sabha,0,
9941f4b7,MP 0246,NA - installation of solar street lights,Normal/Others,Assam,Assam Constituency 246,IDA 0037,,,Block 6,,2023-09-19,416761,Approved by IDA,Unsanctioned,Rajya Sabha,0,
a2c607c4,MP 0223,NA - installation of CCTV surveillance system,Normal/Others,Jharkhand,Jharkhand Constituency 223,IDA 0399,,Ward 9,,,2023-04-08,2146010,Action Pending,Completed,Rajya Sabha,1,overpricing
fe9a0216,MP 0284,NA - installation of street lights,Normal/Others,Chhattisgarh,Chhattisgarh Constituency 284,IDA 0336,,,,,2023-11-24,284947,Action Pending,Unsanctioned,Lok Sabha,1,vendor_capture
8e57861b,MP 0112,NA - development of public park,Normal/Others,Punjab,Punjab Constituency 112,IDA 0062,,Ward 2,,,2024-01-03,1548477,Approved by IDA,Ongoing,Lok Sabha,0,
23b2f4ec,MP 0281,NA - repair of drinking water supply pipeline,Normal/Others,Maharashtra,Maharashtra Constituency 281,IDA 0106,,,Block 9,,2023-09-06,978838,Action Pending,Unsanctioned,Lok Sabha,0,
355e463a,MP 0271,NA - repair of internal roads,Normal/Others,Madhya Pradesh,Madhya Pradesh Constituency 271,IDA 0268,,,,,2023-05-25,1272886,Action Pending,Unsanctioned,Rajya Sabha,0,
2b188c23,MP 0254,NA - construction of cremation ground shed,Normal/Others,Tamil Nadu,Tamil Nadu Constituency 254,IDA 0004,,Ward 17,,,2023-11-06,2432576,Approved by IDA,Sanctioned,Lok Sabha,1,structuring
29b7055f,MP 0141,NA - construction of boundary wall for school,Normal/Others,Tamil Nadu,Tamil Nadu Constituency 141,IDA 0399,,,Block 7,,2023-06-03,857912,Action Pending,Sanctioned,Rajya Sabha,0,
380a32f6,MP 0270,NA - repair of internal roads,Normal/Others,Punjab,Punjab Constituency 270,IDA 0193,,,,Village 50,2023-10-16,2391941,Action Pending,Ongoing,Lok Sabha,0,
cfbce2e9,MP 0094,NA - installation of hand pumps and borewells,Normal/Others,Punjab,Punjab Constituency 94,IDA 0226,,,Block 2,,2023-10-04,155547,Action Pending,Unsanctioned,Lok Sabha,0,
9470349f,MP 0264,NA - repair of drinking water supply pipeline,Normal/Others,Kerala,Kerala Constituency 264,IDA 0280,,,,,2024-03-31,1118635,Action Pending,Unsanctioned,Lok Sabha,0,
ca0d1966,MP 0197,NA - installation of CCTV surveillance system,Normal/Others,Delhi,Delhi Constituency 197,IDA 0026,,,,Village 83,2023-07-15,560618,Action Pending,Unsanctioned,Lok Sabha,0,
ede75eaf,MP 0038,NA - repair of drinking water supply pipeline,Normal/Others,West Bengal,West Bengal Constituency 38,IDA 0298,,,Block 8,Village 1,2023-12-10,756957,Approved by IDA,Unsanctioned,Rajya Sabha,1,vendor_capture
c8d6c709,MP 0228,NA - repair of internal roads,Normal/Others,Maharashtra,Maharashtra Constituency 228,IDA 0383,,,,,2023-10-12,2365133,Approved by IDA,Unsanctioned,Lok Sabha,0,
4b1f066a,MP 0033,NA - construction of public toilet complex,Normal/Others,Rajasthan,Rajasthan Constituency 33,IDA 0263,,,,Village 57,2023-12-07,801017,Approved by IDA,Unsanctioned,Lok Sabha,0,
68b4dc75,MP 0000,NA - construction of drainage system,Normal/Others,West Bengal,West Bengal Constituency 0,IDA 0098,,,Block 14,,2024-03-29,869780,Approved by IDA,Completed,Lok Sabha,0,
b531639d,MP 0117,NA - construction of community hall,Normal/Others,Tamil Nadu,Tamil Nadu Constituency 117,IDA 0214,,,Block 1,,2023-08-14,3438739,Approved by IDA,Completed,Lok Sabha,1,vendor_capture
2e4f2051,MP 0205,NA - construction of public toilet complex,Normal/Others,Odisha,Odisha Constituency 205,IDA 0038,,,,,2023-11-22,418155,Approved by IDA,Unsanctioned,Lok Sabha,0,
5440c4b7,MP 0189,NA - construction of cremation ground shed,Normal/Others,Karnataka,Karnataka Constituency 189,IDA 0089,,,,,2023-09-23,468629,Approved by IDA,Unsanctioned,Rajya Sabha,0,
3fa192ef,MP 0103,NA - construction of public toilet complex,Normal/Others,Gujarat,Gujarat Constituency 103,IDA 0293,,Ward 24,Block 11,,2023-04-06,977696,Action Pending,Completed,Rajya Sabha,1,structuring
8af508b8,MP 0155,NA - construction of drainage system,Normal/Others,Odisha,Odisha Constituency 155,IDA 0178,,Ward 30,Block 13,,2023-05-25,1779566,Approved by IDA,Ongoing,Lok Sabha,1,ghost_project
8a4fc1a1,MP 0056,NA - installation of solar street lights,Normal/Others,Maharashtra,Maharashtra Constituency 56,IDA 0119,,Ward 3,,,2023-07-01,483872,Approved by IDA,Sanctioned,Rajya Sabha,0,
769b285e,MP 0077,NA - installation of hand pumps and borewells,Normal/Others,Assam,Assam Constituency 77,IDA 0068,,Ward 20,,,2024-01-28,141694,Approved by IDA,Unsanctioned,Lok Sabha,0,
3b5480fb,MP 0154,NA - repair of internal roads,Normal/Others,Uttarakhand,Uttarakhand Constituency 154,IDA 0044,,,,,2023-04-21,1215935,Approved by IDA,Ongoing,Lok Sabha,1,ghost_project
791965dc,MP 0069,NA - installation of solar street lights,Normal/Others,Rajasthan,Rajasthan Constituency 69,IDA 0396,,,Block 8,,2023-06-11,308072,Approved by IDA,Sanctioned,Rajya Sabha,0,
9aef3c31,MP 0076,NA - construction of boundary wall for school,Normal/Others,Tamil Nadu,Tamil Nadu Constituency 76,IDA 0145,,,,,2023-08-25,860075,Approved by IDA,Unsanctioned,Lok Sabha,0,
771119ac,MP 0152,NA – installation of CCTV surveillance system (Phase 1),Normal/Others,Chhattisgarh,Chhattisgarh Constituency 152,IDA 0246,,,,Village 66,2023-08-05,286737,Action Pending,Unsanctioned,Rajya Sabha,1,duplicate
76aa8618,MP 0108,NA - construction of public toilet complex,Normal/Others,Telangana,Telangana Constituency 108,IDA 0162,,Ward 23,Block 10,Village 82,2023-09-10,545736,Action Pending,Unsanctioned,Lok Sabha,0,
93b79d73,MP 0226,NA - installation of street lights,Normal/Others,Jharkhand,Jharkhand Constituency 226,IDA 0267,,,Block 7,Village 58,2023-06-13,85382,Approved by IDA,Unsanctioned,Lok Sabha,0,
f3e5a6e9,MP 0177,NA - construction of public toilet complex,Normal/Others,Uttarakhand,Uttarakhand Constituency 177,IDA 0361,,Ward 24,Block 5,,2023-04-15,716989,Approved by IDA,Unsanctioned,Lok Sabha,0,
8ae5ae5b,MP 0091,NA - installation of RO water purification unit,Normal/Others,Delhi,Delhi Constituency 91,IDA 0049,,,Block 11,,2023-09-19,100179,Action Pending,Unsanctioned,Rajya Sabha,0,
3378192c,MP 0165,NA - renovation of government school building,Normal/Others,Bihar,Bihar Constituency 165,IDA 0225,,,Block 6,,2024-01-11,756812,Approved by IDA,Sanctioned,Lok Sabha,0,
dbeaa9bf,MP 0235,NA - construction of boundary wall for school,Normal/Others,Rajasthan,Rajasthan Constituency 235,IDA 0146,,Ward 7,,Village 54,2024-03-29,597223,Action Pending,Sanctioned,Lok Sabha,0,
146e35b9,MP 0211,NA - development of public park,Normal/Others,Rajasthan,Rajasthan Constituency 211,IDA 0093,,,Block 2,,2023-09-16,1540611,Action Pending,Completed,Rajya Sabha,0,
4374b4f2,MP 0002,NA - installation of RO water purification unit,Normal/Others,Gujarat,Gujarat Constituency 2,IDA 0077,,,Block 6,,2023-08-24,328673,Action Pending,Ongoing,Lok Sabha,0,
2faec1b2,MP 0179,NA - installation of hand pumps and borewells,Normal/Others,Rajasthan,Rajasthan Constituency 179,IDA 0016,,,Block 8,Village 75,2023-12-10,199546,Approved by IDA,Unsanctioned,Lok Sabha,0,
b530ebd1,MP 0017,NA - installation of street lights,Normal/Others,Uttarakhand,Uttarakhand Constituency 17,IDA 0195,,,Block 6,Village 13,2023-08-05,84585,Action Pending,Ongoing,Lok Sabha,0,
1be57fdb,MP 0220,NA - installation of street lights,Normal/Others,Rajasthan,Rajasthan Constituency 220,IDA 0354,,Ward 24,Block 3,,2023-08-29,233863,Action Pending,Sanctioned,Lok Sabha,0,
ec53f927,MP 0096,NA - installation of street lights,Normal/Others,Assam,Assam Constituency 96,IDA 0072,,Ward 14,,,2023-05-11,125954,Action Pending,Unsanctioned,Lok Sabha,0,
6d6f89b2,MP 0268,NA - repair of drinking water supply pipeline,Normal/Others,Jharkhand,Jharkhand Constituency 268,IDA 0138,,,,Village 40,2023-08-16,658703,Action Pending,Unsanctioned,Lok Sabha,0,
647af77e,MP 0056,NA - installation of CCTV surveillance system,Normal/Others,Maharashtra,Maharashtra Constituency 56,IDA 0242,,,,Village 66,2023-10-04,2479317,Approved by IDA,Unsanctioned,Lok Sabha,1,structuring
9b705e58,MP 0211,NA - construction of boundary wall for school,Normal/Others,Rajasthan,Rajasthan Constituency 211,IDA 0096,,,Block 4,,2023-10-19,622816,Approved by IDA,Unsanctioned,Rajya Sabha,0,
80e28ae1,MP 0232,NA - construction of drainage system,Normal/Others,Odisha,Odisha Constituency 232,IDA 0324,,,,,2023-11-09,8057287,Action Pending,Ongoing,Lok Sabha,1,overpricing
71962e18,MP 0092,NA - construction of drainage system,Normal/Others,Odisha,Odisha Constituency 92,IDA 0331,,,,Village 49,2023-06-17,879171,Approved by IDA,Sanctioned,Lok Sabha,0,
22bd7c69,MP 0187,NA - construction of boundary wall for school,Normal/Others,Assam,Assam Constituency 187,IDA 0008,,,,Village 2,2023-12-12,493569,Approved by IDA,Unsanctioned,Lok Sabha,0,
7858b101,MP 0070,NA - construction of cremation ground shed,Normal/Others,Gujarat,Gujarat Constituency 70,IDA 0248,,,,,2023-10-13,204748,Action Pending,Unsanctioned,Lok Sabha,0,
eab60476,MP 0136,NA - installation of hand pumps and borewells,Normal/Others,Tamil Nadu,Tamil Nadu Constituency 136,IDA 0061,,,,,2024-02-28,169464,Action Pending,Unsanctioned,Rajya Sabha,0,
879c9f64,MP 0123,NA - construction of cremation ground shed,Normal/Others,Uttarakhand,Uttarakhand Constituency 123,IDA 0123,,,,,2023-08-15,540232,Rejected by IDA,Completed,Lok Sabha,0,
f003a905,MP 0098,NA - renovation of government school building,Normal/Others,Gujarat,Gujarat Constituency 98,IDA 0115,,Ward 10,Block 6,,2023-10-01,1139539,Action Pending,Unsanctioned,Lok Sabha,0,
c62a5944,MP 0249,NA - construction of public toilet complex,Normal/Others,Maharashtra,Maharashtra Constituency 249,IDA 0227,,,Block 7,,2024-02-16,546807,Action Pending,Unsanctioned,Lok Sabha,0,
4534dde5,MP 0000,NA - development of public park,Normal/Others,West Bengal,West Bengal Constituency 0,IDA 0005,,,,,2023-08-25,1227526,Action Pending,Unsanctioned,Lok Sabha,0,
e26ec246,MP 0274,NA - installation of hand pumps and borewells,Normal/Others,Rajasthan,Rajasthan Constituency 274,IDA 0297,,,Block 7,Village 64,2023-09-13,95647,Action Pending,Sanctioned,Rajya Sabha,0,
0922e1b2,MP 0193,NA - repair of drinking water supply pipeline,Normal/Others,Uttar Pradesh,Uttar Pradesh Constituency 193,IDA 0242,,,,,2023-05-25,674210,Action Pending,Completed,Lok Sabha,0,
5eca78ef,MP 0205,NA - installation of RO water purification unit,Normal/Others,Odisha,Odisha Constituency 205,IDA 0267,,Ward 18,Block 8,,2023-09-03,334582,Action Pending,Unsanctioned,Lok Sabha,1,vendor_capture
c512c2a4,MP 0136,NA - repair and renovation of anganwadi center,Normal/Others,Tamil Nadu,Tamil Nadu Constituency 136,IDA 0231,,,,,2023-04-30,399180,Approved by IDA,Sanctioned,Lok Sabha,1,ghost_project
9a524a52,MP 0246,NA - renovation of government school building,Normal/Others,Assam,Assam Constituency 246,IDA 0360,,,,,2023-06-10,2074808,Action Pending,Unsanctioned,Lok Sabha,1,duplicate
01698412,MP 0299,NA - installation of solar street lights,Normal/Others,Delhi,Delhi Constituency 299,IDA 0035,,,,,2023-04-20,308386,Action Pending,Unsanctioned,Rajya Sabha,0,
02226528,MP 0179,NA - installation of hand pumps and borewells,Normal/Others,Rajasthan,Rajasthan Constituency 179,IDA 0119,,,,Village 14,2023-08-04,171578,Action Pending,Unsanctioned,Lok Sabha,0,
ac0fa2ad,MP 0130,NA - repair of drinking water supply pipeline,Normal/Others,Haryana,Haryana Constituency 130,IDA 0113,,,Block 14,,2024-02-08,1170985,Approved by IDA,Sanctioned,Lok Sabha,0,
ccec30f8,MP 0119,NA - construction of boundary wall for school,Normal/Others,Uttarakhand,Uttarakhand Constituency 119,IDA 0359,,,,Village 73,2023-06-13,253983,Action Pending,Unsanctioned,Lok Sabha,0,
9de21b3c,MP 0000,NA - renovation of government school building,Normal/Others,West Bengal,West Bengal Constituency 0,IDA 0381,,,Block 8,,2024-03-19,1907403,Action Pending,Ongoing,Lok Sabha,0,
11cb052e,MP 0051,NA - development of public park,Normal/Others,Uttarakhand,Uttarakhand Constituency 51,IDA 0066,,,Block 10,Village 58,2023-10-21,500831,Action Pending,Unsanctioned,Rajya Sabha,0,
7e08934f,MP 0031,NA - development of public park,Normal/Others,Gujarat,Gujarat Constituency 31,IDA 0224,,Ward 30,Block 13,,2023-08-22,627149,Action Pending,Unsanctioned,Lok Sabha,0,
1d5ceab9,MP 0188,NA - repair and renovation of anganwadi center,Normal/Others,West Bengal,West Bengal Constituency 188,IDA 0102,,,,,2023-11-03,485806,Approved by IDA,Unsanctioned,Rajya Sabha,0,
a1ecbc0d,MP 0251,NA - renovation of government school building,Normal/Others,Uttar Pradesh,Uttar Pradesh Constituency 251,IDA 0147,,,,Village 59,2023-05-02,2160637,Approved by IDA,Unsanctioned,Lok Sabha,0,
859128af,MP 0167,NA - installation of CCTV surveillance system,Normal/Others,Punjab,Punjab Constituency 167,IDA 0196,,Ward 16,,,2024-03-06,434518,Action Pending,Sanctioned,Lok Sabha,0,
2ad30ebc,MP 0201,NA - construction of public toilet complex,Normal/Others,Maharashtra,Maharashtra Constituency 201,IDA 0384,,,,,2023-12-09,665472,Approved by IDA,Unsanctioned,Rajya Sabha,0,
78c845c1,MP 0016,NA - installation of street lights,Normal/Others,Chhattisgarh,Chhattisgarh Constituency 16,IDA 0313,,,Block 1,,2023-04-06,82016,Action Pending,Unsanctioned,Lok Sabha,0,
69d76f0e,MP 0212,NA - construction of community hall,Normal/Others,Haryana,Haryana Constituency 212,IDA 0005,,Ward 27,Block 8,,2024-01-27,3635002,Approved by IDA,Unsanctioned,Rajya Sabha,0,
efead000,MP 0251,NA - repair of internal roads,Normal/Others,Uttar Pradesh,Uttar Pradesh Constituency 251,IDA 0289,,,,Village 51,2023-10-24,605957,Approved by IDA,Unsanctioned,Lok Sabha,1,vendor_capture
422cb4c8,MP 0291,NA - construction of boundary wall for school,Normal/Others,Bihar,Bihar Constituency 291,IDA 0195,,,,Village 46,2023-11-30,351534,Approved by IDA,Completed,Lok Sabha,0,
c9465df1,MP 0217,NA - repair and renovation of anganwadi center,Normal/Others,Karnataka,Karnataka Constituency 217,IDA 0168,,,,,2023-07-09,484016,Approved by IDA,Unsanctioned,Lok Sabha,1,structuring
2caeed50,MP 0072,NA - installation of hand pumps and borewells,Normal/Others,Uttarakhand,Uttarakhand Constituency 72,IDA 0357,,,,,2023-10-17,82990,Approved by IDA,Unsanctioned,Lok Sabha,0,
407143d0,MP 0284,NA - construction of boundary wall for school,Normal/Others,Chhattisgarh,Chhattisgarh Constituency 284,IDA 0328,,Ward 23,Block 7,,2023-04-13,251352,Approved by IDA,Sanctioned,Rajya Sabha,1,ghost_project
3a2e3350,MP 0068,NA - development of public park,Normal/Others,Telangana,Telangana Constituency 68,IDA 0027,,,Block 10,,2024-02-24,1649119,Action Pending,Sanctioned,Lok Sabha,0,
